ScanID, TVC_XA, TVC_PER, TVC_COM , Subglottic_XA, Subglottic_PER, Subglottic_COM , InfSub_XA, InfSub_PER, InfSub_COM , MinSliceID, MinSlice_XA, MinSlice_PER, MinSlice_COM, MidT_XA, MidT_PER, MidT_COM
1075, 116.398, 41.8789, -6.84103 -162.803 -64.0964, 152.879, 44.9093, -6.80533 -159.804 -73.9808, 152.879, 44.9093, -6.80533 -159.804 -73.9808, 616, 114.984, 41.6111, -6.84882 -162.869 -63.8701, 143.936, 42.8569, -7.50432 -135.566 -106.734
1076, 30.3588, 20.4701, 16.4131 -152.696 1.86641, 34.5633, 21.3054, 16.4912 -149.398 -2.92048, 34.5633, 21.3054, 16.4912 -149.398 -2.92048, 674, 28.0625, 19.6078, 16.439 -151.174 -0.160102, 44.4467, 24.4177, 16.6852 -144.796 -8.41868
1077, 45.1907, 25.5107, -0.394453 -144.397 -134.295, 69.8901, 29.9162, -0.102313 -141.492 -143.538, 69.8901, 29.9162, -0.102313 -141.492 -143.538, 644, 44.5115, 25.1219, -0.356172 -144.144 -134.743, 87.8745, 33.6395, -0.171025 -131.863 -163.299
1078, 30.2201, 22.6829, 3.63444 -150.979 158.289, 55.4019, 27.1846, 3.92152 -150.559 154.329, 55.4019, 27.1846, 3.92152 -150.559 154.329, 457, 29.6399, 22.4637, 3.63377 -150.975 158.366, 72.6598, 31.3594, 3.49362 -133.125 119.486
1079, 10.592, 11.9342, 14.1443 -147.106 176.57, 37.3744, 21.8796, 14.1537 -144.93 167.945, 37.3744, 21.8796, 14.1537 -144.93 167.945, 415, 10.5755, 11.9124, 14.1417 -147.125 176.604, 46.0873, 24.5102, 12.847 -136.469 147.06
1080, 71.7917, 35.4027, -21.512 -169.83 -144.99, 111.132, 38.9301, -22.0128 -168.307 -151.638, 111.132, 38.9301, -22.0128 -168.307 -151.638, 804, 70.2214, 35.1146, -21.4958 -169.929 -144.807, 132.082, 43.2593, -22.4935 -162.32 -167.955
1082, 64.9979, 33.0256, 0.789634 -219.533 463.906, 119.228, 39.4645, 1.78014 -206.526 452.128, 119.228, 39.4645, 1.78014 -206.526 452.128, 768, 50.1272, 30.4695, 0.91222 -217.344 462.756, 118.725, 39.5793, 1.68478 -207.618 452.961
1083, 55.4093, 35.4745, 8.95516 -168.098 -665.974, 125.653, 39.9325, 9.88528 -162.601 -686.512, 125.653, 39.9325, 9.88528 -162.601 -686.512, 545, 51.0508, 37.5921, 9.11835 -167.704 -667.188, 108.318, 37.746, 8.73939 -147.246 -717.072
1085, 83.6308, 35.3328, -3.03988 -138.684 -792.765, 95.633, 34.8933, -2.83726 -134.479 -803.165, 95.633, 34.8933, -2.83726 -134.479 -803.165, 555, 77.8608, 33.0517, -2.79226 -136.823 -796.452, 124.296, 40.5606, -3.30491 -121.573 -831.716
1086, 29.1794, 20.2232, 0.428121 -140.425 -106.554, 31.0496, 20.1676, 0.821581 -139.317 -109.326, 31.0496, 20.1676, 0.821581 -139.317 -109.326, 537, 28.617, 20.0074, 0.526849 -140.225 -106.977, 43.5255, 23.639, 3.04626 -130.754 -126.529
